Temperature,Intensity
0,3087
2,2970
4,3062
6,3190
8,3083
10,2966
12,3021
14,2977
16,2931
18,3110
20,3205
22,3007
24,2922
26,3035
28,3208
30,3308
32,3396
34,3574
36,3745
38,3897
40,4128
42,4493
44,4645
46,5126
48,5356
50,5864
52,6327
54,6877
56,7499
58,8167
60,9012
62,10018
64,10936
66,12403
68,13289
70,14983
72,16521
74,18181
76,20158
78,22409
80,24341
82,27209
84,29830
86,32786
88,35726
90,38682
92,41811
94,44907
96,47534
98,49182
100,50739
102,51650
104,51587
106,50868
108,48298
110,45280
112,41088
114,35985
116,29799
118,24057
120,18493
122,13947
124,9513
126,6282
128,3958
130,2382
132,1492
134,895
136,598
138,565
140,478
142,455
144,411
146,435
148,429
150,566
152,647
154,665
156,802
158,903
160,1008
162,1233
164,1403
166,1626
168,1889
170,2250
172,2842
174,3360
176,4102
178,4830
180,5711
182,6967
184,8247
186,10141
188,12326
190,14919
192,17373
194,20977
196,25735
198,30525
200,36541
202,43979
204,52327
206,62397
208,74310
210,87654
212,102994
214,122992
216,142704
218,167370
220,195334
222,228607
224,263919
226,304208
228,349271
230,402358
232,457422
234,516511
236,582559
238,653461
240,731498
242,815364
244,896005
246,985223
248,1.09E+06
250,1.18E+06
252,1.28E+06
254,1.38E+06
256,1.49E+06
258,1.59E+06
260,1.70E+06
262,1.80E+06
264,1.88E+06
266,1.97E+06
268,2.07E+06
270,2.15E+06
272,2.21E+06
274,2.27E+06
276,2.32E+06
278,2.37E+06
280,2.40E+06
282,2.41E+06
284,2.42E+06
286,2.43E+06
288,2.42E+06
290,2.39E+06
292,2.34E+06
294,2.29E+06
296,2.23E+06
298,2.16E+06
300,2.07E+06
302,1.97E+06
304,1.86E+06
306,1.75E+06
308,1.64E+06
310,1.51E+06
312,1.38E+06
314,1.25E+06
316,1.14E+06
318,1.02E+06
320,902942
322,790538
324,691238
326,602316
328,514033
330,437750
332,365646
334,304768
336,252092
338,205850
340,164618
342,130145
344,101763
346,79431
348,60687
350,45532
352,33628
354,24920
356,18635
358,14034
360,11030
362,9154
364,7916
366,7438
368,7362
370,7780
372,8103
374,8774
376,9231
378,9736
380,10267
382,11260
384,11697
386,12470
388,13242
390,13810
392,14341
394,15321
396,15511
398,16653
400,17178
402,16964
404,17942
406,18054
408,18255
410,17921
412,18312
414,18033
416,17680
418,17419
420,16550
422,15557
424,14326
426,13518
428,12070
430,10589
432,9209
434,7727
436,6611
438,5379
440,4089
442,3162
444,2494
446,1754
448,1331
450,917
452,529
454,411
456,330
458,249
460,196
462,200
464,191
466,182
468,178
470,169
472,223
474,158
476,167
478,142
480,211
482,223
484,223
486,187
488,230
490,216
492,248
494,260
496,285
498,321
