Temperature,Intensity
0,17001
2,16909
4,16457
6,16324
8,16603
10,15946
12,15982
14,16229
16,15608
18,15706
20,15397
22,15655
24,16404
26,17421
28,19580
30,21797
32,24755
34,28117
36,31891
38,36855
40,43026
42,48197
44,56095
46,62500
48,70208
50,76830
52,82001
54,84878
56,84263
58,80372
60,71519
62,60653
64,46619
66,33159
68,21064
70,11898
72,6234
74,2920
76,1489
78,872
80,615
82,613
84,476
86,545
88,569
90,652
92,688
94,923
96,948
98,1114
100,1284
102,1601
104,1987
106,2289
108,3035
110,3517
112,4679
114,5659
116,7227
118,8738
120,10996
122,13930
124,16818
126,21321
128,26507
130,33332
132,40384
134,50721
136,62123
138,76158
140,93240
142,114520
144,139681
146,171604
148,207467
150,252697
152,305213
154,368983
156,442138
158,528702
160,629161
162,742572
164,872750
166,1.02E+06
168,1.19E+06
170,1.37E+06
172,1.57E+06
174,1.79E+06
176,2.01E+06
178,2.25E+06
180,2.50E+06
182,2.74E+06
184,2.99E+06
186,3.21E+06
188,3.44E+06
190,3.64E+06
192,3.83E+06
194,3.98E+06
196,4.10E+06
198,4.20E+06
200,4.26E+06
202,4.29E+06
204,4.27E+06
206,4.23E+06
208,4.14E+06
210,4.03E+06
212,3.88E+06
214,3.71E+06
216,3.51E+06
218,3.29E+06
220,3.07E+06
222,2.83E+06
224,2.58E+06
226,2.34E+06
228,2.09E+06
230,1.85E+06
232,1.63E+06
234,1.42E+06
236,1.21E+06
238,1.04E+06
240,879588
242,735161
244,607959
246,497903
248,405330
250,325905
252,258499
254,201894
256,155870
258,118296
260,88441
262,63797
264,45703
266,32535
268,22648
270,15079
272,10753
274,7593
276,5796
278,4691
280,4580
282,4232
284,4204
286,4383
288,4834
290,4951
292,5435
294,5899
296,6156
298,6524
300,7007
302,7427
304,7788
306,8407
308,8874
310,9276
312,9700
314,10387
316,10374
318,11199
320,11444
322,11799
324,12146
326,12122
328,12238
330,12331
332,12342
334,12052
336,11845
338,11082
340,10561
342,9976
344,8925
346,8293
348,7416
350,6261
352,5376
354,4313
356,3566
358,2733
360,2027
362,1402
364,1032
366,628
368,466
370,364
372,287
374,235
376,207
378,275
380,223
382,246
384,214
386,160
388,208
390,183
392,180
394,226
396,203
398,202
400,169
402,192
404,277
406,198
408,207
410,255
412,222
414,212
416,221
418,225
420,203
422,264
424,264
426,302
428,245
430,290
432,266
434,263
436,290
438,233
440,332
442,286
444,272
446,320
448,354
450,376
452,317
454,322
456,321
458,337
460,297
462,331
464,334
466,397
468,366
470,328
472,355
474,328
476,346
478,412
480,441
482,362
484,362
486,418
488,435
490,472
492,394
494,476
496,468
498,412
