Temperature,Intensity
0,7489
2,7411
4,7474
6,7642
8,7520
10,7312
12,7564
14,7411
16,7429
18,7272
20,7254
22,7272
24,7208
26,7344
28,8078
30,8536
32,8953
34,9982
36,10625
38,12062
40,13355
42,14869
44,16386
46,18300
48,20901
50,23872
52,26877
54,30789
56,34139
58,38504
60,42812
62,46871
64,51253
66,54821
68,58304
70,60116
72,59670
74,57873
76,54514
78,48337
80,41596
82,32832
84,24795
86,17069
88,11064
90,6418
92,3580
94,1881
96,1075
98,705
100,582
102,502
104,440
106,481
108,517
110,588
112,642
114,704
116,847
118,961
120,1110
122,1480
124,1638
126,2086
128,2435
130,2912
132,3782
134,4531
136,5805
138,6954
140,8522
142,10849
144,13214
146,16374
148,20299
150,24743
152,30825
154,37251
156,45733
158,56196
160,69217
162,83652
164,102003
166,123063
168,149833
170,179296
172,216347
174,257548
176,307552
178,365582
180,431813
182,507848
184,593102
186,689452
188,798269
190,916403
192,1.04E+06
194,1.18E+06
196,1.33E+06
198,1.48E+06
200,1.64E+06
202,1.81E+06
204,1.97E+06
206,2.14E+06
208,2.31E+06
210,2.47E+06
212,2.62E+06
214,2.76E+06
216,2.89E+06
218,3.01E+06
220,3.10E+06
222,3.18E+06
224,3.24E+06
226,3.28E+06
228,3.29E+06
230,3.29E+06
232,3.26E+06
234,3.22E+06
236,3.14E+06
238,3.05E+06
240,2.94E+06
242,2.82E+06
244,2.67E+06
246,2.51E+06
248,2.35E+06
250,2.18E+06
252,1.99E+06
254,1.81E+06
256,1.64E+06
258,1.46E+06
260,1.30E+06
262,1.14E+06
264,988048
266,849348
268,724016
270,612767
272,511294
274,422393
276,346082
278,278930
280,222400
282,176784
284,136626
286,104231
288,77898
290,57596
292,42021
294,29905
296,20678
298,14531
300,10543
302,7666
304,6014
306,5218
308,4863
310,4853
312,5104
314,5125
316,5470
318,5898
320,6515
322,6783
324,7038
326,7735
328,7981
330,8581
332,9343
334,9491
336,10311
338,10827
340,11443
342,11792
344,12240
346,12520
348,12831
350,13126
352,13419
354,13644
356,13625
358,13633
360,13125
362,13043
364,12028
366,12111
368,10886
370,9931
372,9165
374,8381
376,6978
378,6139
380,4983
382,3955
384,2977
386,2391
388,1698
390,1204
392,791
394,518
396,361
398,266
400,328
402,204
404,132
406,135
408,154
410,215
412,163
414,165
416,226
418,172
420,162
422,134
424,147
426,129
428,160
430,180
432,166
434,122
436,151
438,221
440,185
442,138
444,163
446,218
448,239
450,178
452,214
454,206
456,211
458,193
460,217
462,216
464,232
466,236
468,293
470,243
472,221
474,328
476,293
478,323
480,307
482,310
484,298
486,354
488,308
490,323
492,395
494,324
496,374
498,382
