Temperature,Intensity
0,3940
2,3853
4,3658
6,3791
8,3750
10,3974
12,3652
14,3752
16,3821
18,3794
20,3648
22,3866
24,3804
26,3924
28,4030
30,4106
32,4249
34,4485
36,4764
38,5048
40,5250
42,5828
44,6133
46,6641
48,7400
50,7921
52,8856
54,9659
56,10968
58,11921
60,13323
62,14694
64,16235
66,18241
68,20103
70,22914
72,24940
74,28209
76,31240
78,33850
80,37158
82,40619
84,44258
86,47265
88,50263
90,51998
92,53065
94,54384
96,54224
98,52433
100,48681
102,45242
104,39413
106,33200
108,26891
110,20599
112,15204
114,10176
116,6446
118,4007
120,2390
122,1410
124,931
126,588
128,516
130,499
132,511
134,444
136,526
138,491
140,561
142,648
144,710
146,843
148,980
150,1117
152,1403
154,1647
156,1974
158,2268
160,2774
162,3485
164,4013
166,4915
168,5719
170,7398
172,8947
174,10607
176,12894
178,15461
180,18753
182,22315
184,27293
186,32747
188,39935
190,47653
192,57858
194,68940
196,82495
198,98865
200,116818
202,138351
204,164956
206,193252
208,226732
210,265630
212,308967
214,357571
216,413625
218,473143
220,540080
222,617258
224,696389
226,780043
228,874143
230,972169
232,1.08E+06
234,1.18E+06
236,1.30E+06
238,1.41E+06
240,1.53E+06
242,1.64E+06
244,1.76E+06
246,1.87E+06
248,1.99E+06
250,2.09E+06
252,2.19E+06
254,2.28E+06
256,2.37E+06
258,2.44E+06
260,2.51E+06
262,2.56E+06
264,2.60E+06
266,2.63E+06
268,2.64E+06
270,2.64E+06
272,2.63E+06
274,2.60E+06
276,2.56E+06
278,2.50E+06
280,2.42E+06
282,2.34E+06
284,2.24E+06
286,2.14E+06
288,2.01E+06
290,1.89E+06
292,1.75E+06
294,1.62E+06
296,1.48E+06
298,1.35E+06
300,1.21E+06
302,1.08E+06
304,959764
306,840148
308,736542
310,632104
312,541407
314,458318
316,383137
318,320002
320,260856
322,213096
324,169326
326,134561
328,105623
330,81548
332,60363
334,44978
336,32927
338,24154
340,17384
342,12908
344,9687
346,8146
348,7167
350,6584
352,6762
354,6885
356,7047
358,7535
360,8069
362,8867
364,8988
366,10129
368,10461
370,11162
372,11602
374,12274
376,13065
378,13666
380,14213
382,14817
384,15468
386,15943
388,16345
390,16487
392,16913
394,16786
396,16901
398,16625
400,16397
402,15472
404,15419
406,14481
408,13722
410,12461
412,11312
414,10131
416,8961
418,7747
420,6546
422,5285
424,4050
426,3049
428,2354
430,1689
432,1150
434,916
436,565
438,385
440,263
442,223
444,221
446,184
448,141
450,167
452,126
454,186
456,165
458,134
460,146
462,150
464,186
466,176
468,197
470,193
472,189
474,230
476,179
478,190
480,192
482,271
484,226
486,234
488,220
490,208
492,315
494,227
496,265
498,319
